Author,Review,Review Date
Paul,"I just got this Samsung Galaxy Tab A9+ 11 inch model. I ordered an IPAD 5th generation from Amazon to see which I would like. The Tab A9+ 11-inch model appears to be a clear winner. I previously had an 8-inch Galaxy Tab7 lite which was about 8 inches. This new Tabsa9 plus is 11 inches, so about 1.5 inches longer and wider. For ereaders (I use LIBBY) it is a bit big, but slender and can still fit on the top of treadmill ledges and is a decent size for airplane travel. The new tablet is super light so hardly any weight difference. Screen is super bright and the computing power is fast. I’m a mac/apple user, but found that it seems to be seamlessly and quickly connecting to my iphone 15. I ordered an electronic pen for writing notes, and the size of this seems perfect for it. I also ordered a glass screen protector and a case, both were cheap. This tab device is fantastic in that you can easily buy and load additional storage space. It is a Ferrari of an ereader, but with the electronic pen writing capacity plus colorful screen, and fast computing power, it works great as a notebook style computer. Really, for the money (it retails for $219) it is a fantastic buy. The ipads from Apple were all 3-5 times the price. To get an ipad for this price I needed to go to an old, who-knows how long it will work, 2017 model ipad. No question, this is a wonderful product by Samsung, and I’m speaking as a fan of Apple. I totally recommend this tablet at this time at least. Once I start really using it If I have any dissatisfactions I’ll post an edited review.","Reviewed in the United States on March 16, 2024"
Walter W. Watson,"Excellent value and the screen is vivid and responsive (like all Samsung products). I opted to NOT get the version for a phone service as I can always link my smartphone to this screen if needed. It readily connects to wifi and I suggest using a VPN for security (as well as using the Brave browser and turning off typical Google data harvesting features like location).

It does not come with a USB-C power source, just a cable. If you don't have one a charger with this output , consider buying one when you purchase the tablet. I also found it charges well from another USB-C charger I normally use for my smartphone.

You will probably also want to get a screen protector - there are MANY brands and types available to select from at costs ranging from $5 to about $80. I chose one that protects the screen and serves as a stand, but is flat and allows me to carry the tablet in my vest without worrying about scratching the screen.","Reviewed in the United States on March 26, 2024"
Daniel,"i orginaly got this for my digital keyboard and media consumption. but then i started using it for school and to help me study. imo it was very worth its price. i ended up buying another for a family member since it was so useful and affordable. i dont use it to write notes but i did play around with writing on it and it didnt seem bad at all i just enjoy paper notes more. the battery life is great and the screen is nice. obviously its not an ultra 4k hd +++ screen but it is very nice and i never feel like i need more. in my time using it i have not felt like i needed more in any aspect. i havent used the dex mode since i dont need it but i can imagine it working very nicely since i always have multiple apps open when doing school work. it has helped me so much from what i originally got it for and very much exceeded my expectations.

if your looking for a very nice inexpensive tablet theres no reason not to get this one. i have the 8g ram and its never felt slow. i bought a 4gb for a family member and they have never noticed any issues with it.","Reviewed in the United States on March 1, 2024"
A. Nemo,"I've had this tablet for about a day and put it through it's paces with all the streaming apps that I use - except one that won't work with the tablet because it hasn't been updated by the service - and it worked wonderfully for all of them. The Full-HD capable screen is bright and punchy, while the speakers are crisp and clear with or without the Dolby Atmos sound enhancement turned on. As far as gaming goes, it's not a gaming tablet by any means, but it will play most older Android titles fairly well, particularly the puzzle games or JRPG ports from various companies like Kemco and Square-Enix. The one and only area in which this tablet falls short in all metrics is the WiFi, as Samsung chose to use a cheap WiFi chip that only has a single connection - that means no MIMO WiFi - and it tops out at 433Mbps, which means it's WiFi is sub-par and does not pair well with the speedy CPU and RAM that would give super-fast download speeds and a stronger WiFi connection with a 2x2 WiFi design. Apart from that, the tablet is almost perfect, though some may find Samsung's latest One UI to be clunky and awkward to use, as it has some quirky design flaws that detract from usability in comparison to regular Android tablets that use Google's own interface.","Reviewed in the United States on March 3, 2024"
Peter S.,This thing is great! Large screen and long battery life. Using it for work so not really stressing it out at all but it runs smoothly. The camera sticks out a good amount so if you plan to not use a case be aware of that. And it takes a long time to charge up even on a super fast charger (no super charge option only fast and normal) but still over night its good to go. Expandable storage is really nice and it seamlessly captured the data from my current samsung device.,"Reviewed in the United States on April 1, 2024"
Kindle Customer,"I purchased this tablet primary for reading as I needed something that could run the Cloud Library app for digital library books. So far, it has served me well with no issues. The Samsung A9 replaces my Kindle Fire and it is faster and far superior. I have streamed video and played a few games on it as well and it does it's jobs. If you're not looking for anything with lots of bells and whistles, this is a good, middle of the road tablet.","Reviewed in the United States on March 20, 2024"
RetVet,This was an upgrade from my iPad. Personally I like android devices. I don't need anything too in depth. This is perfect for my use. Emails. Texts. Web. A few game apps and uTube. I also like pairing it to my Galaxy phone to make and receive calls. Good value and good item. Satisfied with this purchase.,"Reviewed in the United States on April 1, 2024"
Terry G,"This is my 4th Samsung galaxy tablet. Each has been an upgrade. Where do I start? The larger screen is nice. The graphics are awesome. The sound with the Dolby Atmos system is really great. The smooth screen refresh rate is amazing. The colors are rich. The better wifi connections are so nice. I really enjoy using my new tablet. Getting it on sale was a bonus. For the price, it can't be beat. Transferring everything from my old tablet was seamless. I can't say enough about this tablet. Highly recommended!!!","Reviewed in the United States on March 28, 2024"
Brooster,"My old samsung tablet died after many years of use. I knew I wanted another samsung so I tried several different ones before going with this one.

I liked the large screen of the 12.4"" A9 FE, but with a case, it was heavier than I was looking for and felt too large for travelling. I looked at a different samsung 11"", but the graphics were not as good as the 12.4"". But this one does have the nice graphics and with a case, it doesn't feel too heavy and is compact enough for travel. More than I wanted to spend on a tablet, but given my previous Samsung tablet lasted about 10 years, I decided it was worth it and so far, it has been.","Reviewed in the United States on April 11, 2024"
Joseph G.,"I mostly bought this tablet just to stream shows and read on. Both of which it does perfectly. The tablet is quick and snappy with loading and navigating which is probably due it it's Qualcomm processor, I've found myself frustrated many times trying to use slow and sluggish budget devices so I'm very satisfied with the experience here. The 1080p picture on the lcd display isn't anything amazing but for a budget device it gets by, I love the smooth 90hz capability as well.

However I don't love that out of box my unit suffers from a dead pixel on the lcd but fortunately it's so small that it's barely noticeable. It's not a deal breaker for me I just expect better quality control from Samsung.

Surprisingly a major positive is the sound quality. I found myself ditching the earbuds a lot with this tablet. The sound is loud and clear with it's four speakers! Very surprising for a budget device.

Overall I'd recommend this tablet to anyone wants an affordable and capable device either for work or leasure. I haven’t tried gaming on it but I'm sure it would handle itself pretty well. A great value but If this tablet goes on sale than it's pretty much a no brainer.

Note: Annoyingly this tablet doesn't a include a USB-C charging brick. I had to use my phone charger instead because the included charging cable was USB-C to USB-C. I only own USB-A bricks. So be prepared.","Reviewed in the United States on March 5, 2024"
