Author,Review,Review Date
Daryl H.,Love how powerful it is have had it 6 weeks and have had no issues with game lag at all.. the built in performance bar is amazing.. I record my games and edit them through that. Only downside is the battery life but I got a power bank it its working great together. Overall very amazing tablet for gaming and cheaper then most.. so budget friendly and you can game with best performances. Thank you love it,"Reviewed in the United States on March 21, 2024"
Amazon Customer,"Es una excelente tablet, tiene un buen brillo de pantalla, es muy rápida para abrir aplicaciones, 100% recomendable","Reviewed in the United States on February 9, 2024"
Old & In the way,"After getting it all setup for my needs I can say I am very happy with this tablet. I do not use or care about the pen which seemed to be a problem to others, but as far as gaming and watching videos it rocks, the refresh rate made the movies pop and were visually crisp. I got the 8gb/256gb version but I still wanted more storage, I solved that with a USB-C SD card reader, I found one with USB Type-C port and 5Gbps Data rate for under ten dollars and it is as small as a Wireless USB mouse dongle.
The wireless is fast and I have had no issues with it or the bluetooth, both have been flawless so far, browsing and gaming run buttery smooth.","Reviewed in the United States on September 3, 2023"
Sharikov,"The 300 PPI screen is great for reading technical PDFs. The video watching experience is worse than on an OLED screen for obvious reasons. Everything works fast and smoothly. Battery life so far has been great. But there are two flaws in my opinion:
1. There is visible vignetting at the edges of the screen.
2. The UI is much worse than, say, Samsung. It's hard to get to the list of open apps. It takes me 5-10 attempts on average to get this done. The floating windows feature is annoying and cannot be turned off.","Reviewed in the United States on February 20, 2024"
Ricardo Ramirez,"It's honestly better than I expected for the price, it has good specs and so far no hiccups","Reviewed in the United States on November 18, 2023"
MS,Legit global rom confirmed w serial number. Includes a 33 watt charger,"Reviewed in the United States on July 13, 2023"
Gil Palma,"Es una tablet muy sólida en calidad precio. Los acabados son altos y los materiales son duraderos y algo lujosos a comparación de su precio. Su tamaño de pantalla y sonido esterio son de muy buena calidad esto es increíble para ver series jugar videojuegos y más cosas multimedia. Sin embargo, el único lado ""negativo"" seria la duración de la batería pero esto se compensa con la carga rápida de Xiaomi. Considero está tablet como un producto sólido igual que su antecesor la Xiaomi pad 5.","Reviewed in the United States on December 27, 2023"
Erik Ayala,Muy buena precio calidad pero no es buena para gaming como fortnite o genshin impact,"Reviewed in the United States on December 10, 2023"
Jonathan Barbosa,"La verdad es excelente esta tablet en cuanto calidad-precio, es la segunda que compro, tanto proveedor como producto excelente. El único detalle en esta ocasión me mandaron un cargador que no es la entrada correcta.","Reviewed in Mexico on April 9, 2024"
Giovanni Marques,"Compra e envio:

Fiz a compra do Tablet via Pix no dia 24/01/2024. Após confirmação do pagamento, recebi o código do rastreamento que possibilitava o acompanhamento pelo site dos Correios. A linha do tempo desse acompanhamento ficou assim:

• 26/01 - Objeto postado na China
• 31/01 - Objeto recebido pelos Correios do Brasil no Centro Internacional (em Curitiba)
• 05/02 - Informações eletrônicas enviadas para análise da autoridade aduaneira
• 09/02 - Análise concluída - Importação autorizada
• 09/02 - Fiscalização aduaneira concluída - aguardando pagamento
• 15/02 - Pagamento confirmado
• 17/02 - Saída do Centro Internacional rumo a meu estado (São Paulo)
• 19/02 - Objeto chega em São Paulo
• 20/02 - Objeto entregue ao destinatário

Levando em consideração todo o processo, demorou menos de 1 mês para chegar em minha residência.

Unboxing e produto:

Caso você tenha conhecimento sobre processadores e componentes de tablets/smartphones, sabe que é uma verdadeira máquina esse dispositivo. Um excelente custo-benefício. Mas deixando de lado essas informações técnicas, o produto chegou bem embalado e lacrado. Ao abrir, você já dá de cara com o tablet que vem bem protegido. Na caixa, há manuais de instrução, cabo USB Tipo-C e a fonte de 33W. Ao ligar o dispositivo, você já nota que a tela é incrivelmente linda, com excelente definição. O som é alto e claro e a fluidez do dispositivo te diz que é um produto que irá durar bastante. O produto foi um presente de aniversário para minha mãe e ela vai usar mais para assistir conteúdos em streamings.

Prós:
- Ótimo custo benefício
- Tela excelente
- Rápido e fluído

Contras:
- Não vem uma película protetora (sugiro comprar uma de vidro que protegerá mais que as de hidrogel)
Read more","Reviewed in Brazil on February 24, 2024"
