Author,Review,Review Date
Mohamed Elhossiny,Nice,"Reviewed in the United States on March 20, 2024"
Juan Lopera,"Todo en excelente estado,","Reviewed in the United States on March 11, 2024"
Juanps,"I love this tablet, and the quality of audio is great.","Reviewed in the United States on March 2, 2024"
Jorge Luis,Para mi mejor k otra marca más reconocida,"Reviewed in the United States on January 29, 2024"
Alaw,"I bought this tablet for my husband. He like it, but the resolution of screen is not vivid as my Samsung S2. The pro is the tablet is very light weight, fast speed, good for watching YT or movie from app, and it has Netfix.","Reviewed in the United States on November 30, 2023"
Amazon Customer,This tab is exactly what my better half needed. And for the money it's a win-win.,"Reviewed in the United States on December 31, 2023"
Amazon Customer,Muy buen equipo,"Reviewed in the United States on January 7, 2024"
Amazon Customer,Good value for the price. Works great.,"Reviewed in the United States on December 31, 2023"
Gabriel,Bien,"Reviewed in the United States on March 29, 2024"
alexis araya montes,"No trae funda ni protección para la pantal
la","Reviewed in the United States on December 20, 2023"
Dian,It’s exactly as it looks like.,"Reviewed in the United States on December 8, 2023"
Patrick Alonso Chucuya Espinoza,"Llegó a Perú super rápido y llegó en perfectas condiciones, llegó tal cual la descripción. Buen producto","Reviewed in the United States on December 7, 2023"
Ichihan Kuroson,"I bought this as a present for my parents. All they do is youtube and Netflix, and they absolutely love it, they love how big the screen is, they said it's nice and bright, with beautiful colours and very loud, very good for mom to listen to youtube while she cooks or preps ingrediants. They used to have a Samsung Note Tablet 10.1 inch so it was a very old tablet they upgraded from.","Reviewed in the United States on November 17, 2023"
Cliente Amazon,Precio calidad excelente,"Reviewed in Spain on November 4, 2023"
Sergej,"I use it for surfing and it is completely sufficient. Display and battery are very nice. Also, good Xiaomi quality.","Reviewed in Germany on November 12, 2023"
Amazon Customer,"Hardwareseitig kann man sich nicht beschweren, RAM und Speicher satt. Das Display ist auch gut, ebenso der Sound.

Bei Werbeversprechen zu ""Gaming"" muss man natürlich etwas Abstriche machen, bei alles was 3D ist müht sich der Grafikprozessor allein an der sehr hohen Bildschirm-Auflösung ab, selbst mit reduzierter Render-Auflösung und vielen Grafik-Optionen auf Minimum laufen etwas aufwendige Android-Titel pixelig bzw. mit wenigen Bildern pro Sekunde. Gut wäre für das kleine Geld ggf. auch zu viel erwartet...

Die eigene Android-Version (noch MIUI Pad Global, derzeit 14.0.5) ist mir etwas sehr eigen. Man sucht manche Optionen lange, weil sie einfach woanders sind als beim Standard-Android. Oder gar nicht existieren. Einige Gesten sind auch sehr eigen, gut kann man auch abschalten.
Aber gerade bei so einem groß dimensionierten Gerät (11"" und 256GB Speicher) wäre es ja schön, wenn mehrere Familienmitglieder eigene Google-Konten auf dem Gerät haben könnten. Es gibt aber nur das Zweitprofil, das leider für zus. Kinder nicht so gut funktioniert. Beschränkte Profile wie sie Samsung bietet Xiaomi leider nicht. Sprich kein gutes Tablet für Familien mit Kindern.","Reviewed in Germany on March 6, 2024"
berggeist,"Funktioniert super, Akku hält lange, mal sehen wie lange das so ist.","Reviewed in Germany on February 19, 2024"
maurizio azzarello,Veloce ma sopratutto ottimo video ed audio,"Reviewed in Italy on March 14, 2024"
Detève helene,Très rapport qualité/prix,"Reviewed in France on March 23, 2024"
Vince,"grande tablette. Seul point négatif, MIUI 14 (absence de bouton HOME) et aperçus des photos affichés en basse résolution dans Galerie. Réglages minimum indispensable. Bon son, assez puissant.","Reviewed in France on November 21, 2023"
Costanza Falaschi,"Mi è piaciuto molto . È estremamente funzionale, lo consiglio","Reviewed in Italy on November 18, 2023"
Rosario,"Me parece funcional y práctica. Tiene buena definición, y puedo ver bien mis mensajes.","Reviewed in Mexico on January 13, 2024"
Ferdy Bossy,Het beeld is echt ongelooflijk goed. Aan het begin wordt duidelijk gemaakt hoe je deze moet bedienen. Het cirkeltje en vierkantje onderaan worden niet meer zichtbaar. Wel de App's zelf updaten gebeurt niet vanzelf. En Aptx is echt geweldig als je apparatuur hebt die deze Bluetooth kan ontvangen. GEEN AUDIO/VIDEO uit USB-C een USB-C hub is geen optie voor TV of DAC.,"Reviewed in the Netherlands on October 7, 2023"
Fede,"Buon tablet per una fascia medio-bassa. Non sembra soggetto a riscaldamenti eccessivi. Da migliorare, nei modelli successivi, la fotocamera (basterebbe poco di più per delle foto molto migliori) e il display. Per il resto le prestazioni sono buone, anche in schermo diviso e con finestre mobili aperte.","Reviewed in Italy on November 26, 2023"
Amazon Kunde,Leider nach wenigen Wochen preislich eingebrochen sodass ein besseres Tablet der Marke Xiaomie für geringfügig mehr Geld zu erhalten gewesen wäre !,"Reviewed in Germany on March 10, 2024"
Oleg,Soldi spesi bene. Qualità al top!!!,"Reviewed in Italy on November 18, 2023"
Jean-Marc F.,Achat sans problème.,"Reviewed in France on October 21, 2023"
Israel,"Se cumple lo que se especifica en un principio pensé que por el costo tal vez enviaban otro aparato con diferente capacidad de almacenamiento, pero una vez teniéndolo en casa verifique que era tal cual.

Llego en perfecto estado, incluye tablet, cable usb y cargador.

Toma fotos y videos bien.
Tiene 4 bocinas lo cual se escucha perfecto.
El desplazamiento fácil, practico y sencillo.

Puedo en ella leer, ver videos, ver mis gráficos, esta excelente, muy satisfecho con la compra.","Reviewed in Mexico on January 15, 2024"
Sommer,"Bestellung und Lieferung hat super geklappt es war einfach einzurichten ,auch wenn man nicht viel Ahnung davon hat. Wir benutzen es zum Zeitung lesen. Es hat eine schöne Bildauflösung, bis jetzt sind wir sehr zufrieden damit.","Reviewed in Germany on January 27, 2024"
Italian_Blood,Veloce e affidabile bello il design consigliato,"Reviewed in Italy on January 8, 2024"
JMG,"Ha sido una compra muy acertada. Tablet muy ligera, rápida y sencilla de operar.","Reviewed in Spain on October 25, 2023"
Isabelle,"Parfait, très contente","Reviewed in France on February 15, 2024"
sab,"Vraiment très déçu ! Acheté pour jouer spécifiquement à certains jeux nécessitant le gps, et la tablette ne contient aucune puce gps ! Élément qu'il serait peut-être indispensable de signaler dans le descriptif !","Reviewed in France on November 29, 2023"
Melanny,"La verdad que me sorprendió mucho el precio en que la conseguí! Para jugar juegos básicos va muy bien, igual para ver streaming o incluso para escribir documentos, buen rendimiento de batería, me sorprendió lo mucho que dura su batería, lo que si a veces me desespera que tarda más de una hora en cargar al 100%","Reviewed in Mexico on March 26, 2024"
Veronica,"Ad un prezzo piccino, tanta potenza.
Veloce, essenziale, la batteria ha una durata notevole. Lo schermo è molto sensibile, ma è questione di abitudine. Schermo nitido.
Non ho grandi esigenze, ma quello che devo fare lo riesco a fare in maniera eccellente","Reviewed in Italy on October 19, 2023"
Juan Carlos,"Excelente Tablet por el precio, funciona genial, su consumo de batería es muy bajo, y eso que nunca la apago, aguanta el trabajo con buen desempeño, supongo que la RAM extra le ayuda mucho. El brillo de la pantalla es bueno, el sonido también, no la uso para juegos, la uso para ofimática y redes, tiene salida para auricular con cable que para mi es lo mejor aunque es Bluetooth, va de maravilla","Reviewed in Spain on January 21, 2024"
Nieves Kaskero,"La he comprado para regalar, viene perfecta empaquetada de paquete, todo bien a simple vista","Reviewed in Spain on November 10, 2023"
MONSERRAT LOPEZ,Bastante útil para las clases.,"Reviewed in Mexico on January 20, 2024"
Eurico,Excelente relação preço/ qualidade.,"Reviewed in Spain on November 2, 2023"
Zaira Flores,"No me fijé en el tamaño y es más grande de lo que quería pero trabaja suuuuuuper bien, gráficos nítidos, excelente audio, fluida, hasta el momento todo bien","Reviewed in Mexico on December 6, 2023"
Jose Lopez,Me Gustó Que No Se Traba Va Muy Fluido Todo.,"Reviewed in Mexico on April 9, 2024"
